、 每片
。 持久
。 任何
。 水变
。 水变
。 水彻
。 杯子
。 押上
。 总有
。 总以
。 阴晴
。 爱情
。 不过
。 很多
。 在爱
。 男人
。 所以
。 爱情
。 真正
。 亲和
。 什么
。 其实
。 从激
。 时间
。 缘聚
。 相爱
。 其实
。 既然
。 爱一
。 生活
。 不论
。 不可
。 别人
。 脚远
。 你最
。 只有
。 爱情
。 爱情
。 当爱
。 这说
。 你需
。 宁可
。 远远
。 爱很
。 能够
。 爱一
。 这种
。 最质
。 当然
。 因为
。 适当
。 这就
。 人生
。 爱情
。 当你
。 爱，
。 经年
。 人生
。 爱情
。 它叫
。 既热
。 那心
。 如果
。 人的
。 日久
。 喜欢
—— 这
—这 就
“爱 ”
“爱 ”
“我 爱
”的 经
”的 体
”那 么
， 爱情
， 流光
， 是春
， 秋风
， 夏雨
， 冬雪
， 爱情
， 一阵
， 一片
， 芬芳
， 澄明
， 爱情
， 陪你
， 一起
， 这世
， 但是
， 那种
， 的确
， 因为
， 是心
， 是共
， 是清
， 爱情
， 就像
， 来的
， 走的
， 当你
， 来了
， 当你
， 走了
， 每一
， 都如
， 阴晴
， 捉摸
， 无畏
， 总想
， 其实
， 远的
， 就像
， 总会
， 在朦
， 品下
， 心才
， 铅华
， 丰盈
， 就像
， 爱情
， 爱情
， 秋水
， 天涯
， 我们
， 相爱
， 相爱
， 永远
， 那是
， 假如
， 就不
， 更不
， 除了
， 除了
， 还有
， 那些
， 甚至
， 是需
， 不是
， 不是
， 而是
， 是从
， 开初
， 只能
， 那厚
， 是在
， 难的
， 两个
， 就要
， 都必
， 这是
， 两情
， 也只
， 不能
， 也可
， 学会
， 所以
， 其实
， 经不
， 谁都
， 能够
， 一切
， 始终
， 才是
， 能遇
， 一个
， 可能
， 不是
， 不是
， 会放
， 总有
， 爱却
， 理由
， 不是
， 而是
， 就是
， 就是
， 是一
， 一种
， 和一
， 一份
， 才会
， 拉得
， 而又
， 欣赏
， 而不
， 而是
， 而是
， 你也
， 我不
， 你也
， 我们
， 是彼
， 到头
， 相守
， 风雨
， 相伴
， 建立
， 或是
， 被倒
， 滚烫
， 这就
， 杯子
， 这是
， 杯子
， 也许
， 杯子
， 把水
， 但不
， 摔成
， 发现
， 知道
， 想再
， 却不
， 如果
， 将会
， 留下
， 偏偏
， 劝也
， 拦都
， 然而
， 制造
， 却偏
， 世间
， 仍在
， 它无
， 同时
， 这些
， 一份
， 古今
， 女人
， 最看
， 女人
， 如果
， 女人
， 也不
， 如果
， 就算
， 也是
， 爱情
， 无非
， 我宠
， 不断
， 反应
， 爱情
， 才经
， 有些
， 是那
， 也没
， 却无
， 从感
， 从浪
， 越不
， 这才
， 爱情
， 经得
， 经得
， 总有
， 总有
， 真心
， 熟悉
， 要的
， 便只
， 情有
， 这是
， 这是
， 最后
， 不是
， 而是
， 最重
， 最美
， 而委
， 自己
， 这是
， 不一
， 不一
， 才是
， 更没
， 可以
， 也可
， 还要
， 也可
， 你的
， 是对
， 当你
， 却引
， 或者
， 他明
， 却一
， 且言
， 爱已
， 不是
， 而是
， 莞尔
， 掬一
， 为他
， 也不
， 有一
， 是安
， 是无
， 不言
， 只愿
， 不惊
， 只在
， 不妨
， 只在
， 便是
， 便是
， 人们
， 就是
， 就是
， 而现
， 爱有
， 就是
， 然后
， 就是
， 不是
， 刻刻
， 而是
， 心中
， 因为
， 是不
， 不想
， 相视
， 分开
， 一个
， 但不
， 但不
， 执着
， 不失
， 美丽
， 只因
， 也就
， 却往
， 不是
， 而是
， 不是
， 而是
， 从来
， 从来
， 都是
， 慢慢
， 注定
， 一笔
， 从开
， 就已
， 即便
， 彼此
， 我曾
， 你也
， 如此
， 永远
， 古往
， 又有
， 倘若
， 人生
， 因为
， 何尝
， 那是
， 怕它
， 怕它
， 怕那
， 又充
， 又忧
， 又踌
， 只能
， 那么
， 可能
， 一辈
， 会让
， 强扭
， 懂，
， 比爱
， 更重
， 才是
， 要你
， 你的
， 你身
， 要你
， 给你
， 快乐
， 承诺
： 爱情
： 他真
： 她值
； 心有
； 不够
； 真爱
； 所谓
； 爱不
； 如果
； 友情
； 悲欢
； 纵然
； 不论
； 你认
； 不求
； 爱很
； 能够
； 可以
； 既疯
； 一个
； 爱你
； 男人
？ 还是
？ 其实
？ 很多
？ 爱情
？ 你不
碍彼 此
爱” 的
爱” 的
爱不 是
爱不 是
爱不 能
爱到 吵
爱到 平
爱的 过
爱的 序
爱的 人
爱的 感
爱的 两
爱而 不
爱而 美
爱放 进
爱过 你
爱过 我
爱很 轻
爱很 静
爱可 以
爱来 之
爱了 ，
爱没 有
爱你 ”
爱你 的
爱你 的
爱你 的
爱你 。
爱你 的
爱情 是
爱情 是
爱情 是
爱情 ，
爱情 之
爱情 的
爱情 ，
爱情 一
爱情 的
爱情 中
爱情 ，
爱情 ，
爱情 ，
爱情 的
爱情 。
爱情 的
爱情 之
爱情 的
爱情 。
爱情 应
爱情 有
爱情 源
爱情 的
爱情 可
爱情 。
爱情 ，
爱情 的
爱情 的
爱情 里
爱情 有
爱情 是
爱情 就
爱情 的
爱情 ，
爱情 ，
爱情 往
爱情 ，
爱情 没
爱情 ，
爱情 可
爱情 ，
爱情 不
爱情 ，
爱情 和
爱情 ，
爱情 ，
爱情 的
爱情 故
爱情 对
爱情 ，
爱却 一
爱人 的
爱人 ，
爱人 而
爱人 的
爱人 ！
爱容 易
爱容 易
爱上 一
爱上 了
爱是 一
爱双 方
爱我 ；
爱相 依
爱一 个
爱一 个
爱一 次
爱一 个
爱一 个
爱一 个
爱一 起
爱已 走
爱有 时
爱欲 ，
爱欲 都
爱在 。
爱者 的
爱者 互
爱着 水
爱着 ，
爱最 重
爱最 重
安静 的
暗暗 地
暗地 一
傲地 转
跋涉 ，
把爱 放
把婚 姻
把水 倒
白头 偕
白一 个
拜都 没
拜感 ，
拜我 ，
般的 力
般的 热
般来 说
般历 尽
伴花 开
伴你 一
伴随 着
伴在 你
包容 ，
包容 你
包容 ，
薄而 出
保持 一
保证 。
宝贵 财
杯子 寂
杯子 很
杯子 害
杯子 难
杯子 舒
悲欢 离
悲剧 总
悲喜 交
卑微 ，
卑微 地
辈子 都
辈子 的
背负 累
背影 忽
备好 的
被爱 ，
被爱 而
被倒 进
被理 解
被无 数
被现 实
本性 是
比爱 ，
比甜 美
比喜 剧
比鞋 重
笔一 画
彼此 ，
彼此 对
彼此 发
彼此 的
彼此 的
彼此 相
彼此 相
彼此 的
彼此 的
彼此 的
彼此 还
毕生 的
必须 有
边的 那
便是 最
便是 最
便是 不
便只 顾
变的 天
变的 心
变对 方
变凉 了
变温 了
表现 。
别人 看
并不 难
并不 是
并无 命
泊清 香
不爱 一
不到 的
不定 。
不懂 你
不断 。
不断 地
不断 地
不妨 碍
不放 弃
不放 手
不缚 束
不敢 将
不够 爱
不孤 单
不顾 自
不过 ，
不过 是
不过 一
不会 在
不会 伴
不会 有
不会 有
不急 不
不惊 扰
不觉 得
不觉 得
不开 谁
不可 及
不可 能
不可 只
不来 他
不浪 漫
不离 不
不离 开
不了 ，
不论 什
不论 什
不难 ，
不能 算
不能 嫁
不能 同
不能 去
不能 执
不疲 的
不起 一
不起 的
不起 ，
不起 平
不起 风
不弃 ，
不求 回
不去 卑
不容 易
不失 为
不是 一
不是 写
不是 唱
不是 因
不是 因
不是 爱
不是 一
不是 以
不是 改
不是 依
不是 你
不是 我
不是 爱
不是 瞬
不是 因
不是 云
不是 去
不是 为
不是 时
不是 这
不是 爱
不是 一
不属 于
不属 于
不同 了
不息 ，
不限 制
不相 问
不想 而
不小 心
不小 心
不言 不
不一 定
不一 定
不移 的
不易 。
不由 衷
不渝 。
不语 ；
不语 而
不愿 离
不再 永
不在 一
不燥 的
不知 真
不住 ，
不住 ，
不住 —
不住 的
部赌 注
擦肩 而
才会 拥
才会 美
才叫 爱
才经 得
才开 始
才能 如
才能 收
才是 一
才是 你
才是 真
财富 ，
彩的 内
沧桑 ，
操劳 之
场爱 情
场悲 喜
场花 开
场输 不
尝不 是
尝不 是
常脆 弱
常是 无
长而 淡
长或 短
长久 的
唱在 嘴
潮水 抚
吵架 所
扯不 断
彻底 的
尘埃 ，
沉甸 。
沉重 的
沉舟 ；
成长 ；
成长 。
成功 看
成功 。
成为 彼
成一 片
程是 长
澄明 心
诚换 来
承诺 你
持久 的
持久 ，
持一 定
充满 了
充满 了
崇拜 感
崇拜 都
崇拜 我
宠爱 欲
宠爱 欲
宠爱 你
踌躇 。
初的 一
初的 心
出毕 生
出的 岩
出花 来
除了 花
除了 卿
除去 巫
础之 上
处同 行
处最 刻
串叮 呤
吹远 。
春年 少
春日 里
词佳 句
此不 疲
此的 世
此的 生
此的 心
此的 生
此的 生
此对 爱
此发 自
此还 会
此就 已
此天 涯
此相 望
此相 知
次次 追
次永 别
次追 忆
从感 动
从激 情
从开 始
从来 都
从来 都
从浪 漫
从组 合
脆弱 的
存时 间
大的 成
大努 力
大诗 人
大是 因
带给 人
带来 一
代远 离
担风 雨
单的 躯
但不 小
但不 能
但不 能
但是 ，
淡泊 清
淡却 经
淡如 水
淡也 分
弹奏 的
当爱 不
当保 持
当初 的
当你 还
当你 慢
当你 用
当你 的
当然 ，
挡不 住
挡也 挡
倒出 。
倒进 开
到吵 架
到尘 埃
到的 再
到的 是
到的 是
到对 方
到覆 水
到感 恩
到老 的
到了 尽
到了 爱
到平 淡
到平 淡
到亲 情
到头 来
到相 守
到一 起
道道 伤
道理 ，
道暖 阳
道伤 痕
道上 ，
道心 里
得到 对
得开 ，
得漫 长
得起 考
得起 时
得起 风
得起 平
得我 爱
得遥 远
得珍 惜
得终 生
的爱 情
的爱 情
的爱 情
的爱 ，
的爱 。
的爱 情
的爱 情
的爱 情
的爱 ，
的爱 ，
的爱 情
的爱 ，
的爱 我
的跋 涉
的保 证
的宝 贵
的卑 微
的本 性
的表 现
的不 离
的不 容
的不 是
的操 劳
的潮 水
的成 功
的成 功
的等 待
的东 西
的对 ，
的芳 香
的芳 容
的丰 厚
的风 华
的风 景
的风 儿
的富 有
的感 觉
的感 觉
的感 应
的共 鸣
的故 事
的瓜 不
的关 心
的观 望
的果 实
的过 程
的豪 赌
的痕 迹
的华 贵
的化 学
的话 题
的灰 尘
的基 础
的季 节
的简 单
的骄 傲
的脚 。
的结 局
的锦 素
的精 力
的经 历
的经 历
的就 是
的距 离
的决 绝
的考 验
的刻 骨
的理 解
的力 量
的凉 ，
的两 个
的灵 魂
的流 长
的美 ？
的迷 恋
的磨 难
的默 默
的陌 生
的那 个
的那 个
的那 个
的那 一
的内 容
的女 人
的碰 撞
的青 春
的情 书
的曲 折
的躯 壳
的却 常
的确 有
的热 情
的人 生
的人 更
的人 生
的人 是
的人 ；
的人 。
的人 ，
的人 都
的人 。
的人 生
的人 ，
的人 ，
的人 ，
的人 ，
的容 颜
的神 秘
的声 音
的生 存
的生 活
的生 命
的生 命
的诗 词
的时 候
的时 候
的时 候
的时 候
的世 界
的是 一
的是 相
的是 一
的是 合
的是 和
的是 鞋
的是 脚
的守 候
的体 验
的体 验
的天 空
的天 气
的投 影
的完 美
的伟 大
的未 来
的温 暖
的温 柔
的温 暖
的温 度
的无 理
的无 动
的现 在
的限 度
的相 容
的心 更
的心 是
的心 跳
的心 灵
的心 房
的心 ！
的幸 福
的幸 福
的幸 福
的幸 福
的幸 福
的修 行
的序 幕
的选 择
的岩 浆
的眼 光
的眼 睛
的遥 不
的一 朵
的一 抹
的一 缕
的一 串
的一 道
的一 切
的一 半
的一 半
的一 段
的一 生
的遗 憾
的遗 憾
的意 义
的意 义
的音 符
的姻 缘
的姻 缘
的永 远
的诱 惑
的缘 份
的再 见
的折 磨
的这 一
的珍 视
的珍 惜
的真 爱
的真 感
的真 理
的真 诚
的证 明
的执 着
的只 有
的质 量
的质 量
的质 的
的撞 击
的滋 味
的作 品
的靓 丽
的魅 力
等待 。
等的 基
低到 尘
低头 。
底的 凉
底喷 薄
地把 爱
地的 爱
地低 头
地懂 得
地分 解
地关 心
地牵 手
地去 伤
地上 ，
地蜕 变
地一 路
地重 演
地转 身
点崇 拜
点宠 爱
点宠 爱
点儿 也
惦记 着
掉在 地
丁点 崇
丁点 宠
叮呤 ，
定不 移
定的 姻
定的 距
定的 温
定了 要
定是 最
定是 最
定喜 欢
东西 看
东西 。
冬雪 中
懂得 ，
懂你 ，
懂你 的
懂你 的
动到 感
动的 美
动地 的
动和 将
动人 的
动人 的
动于 衷
都爱 一
都必 须
都不 会
都拦 不
都没 有
都没 有
都跑 掉
都如 这
都是 没
都是 一
都是 一
都是 慢
都是 人
都希 望
都希 望
都消 失
都有 水
赌注 以
度一 下
短的 限
段爱 情
段段 爱
断地 重
断地 分
对爱 情
对的 对
对的 完
对方 ，
对方 。
对方 ，
对方 ，
对方 的
对方 。
对男 人
对女 人
对于 人
多的 遗
多的 女
多么 的
多人 问
多人 爱
多少 是
多少 要
多少 赞
多少 个
多时 候
多意 外
多远 ，
朵花 开
朵鲜 花
而不 是
而不 顾
而不 知
而出 的
而淡 泊
而精 彩
而美 丽
而去 ，
而伤 感
而是 付
而是 一
而是 相
而是 相
而是 一
而是 因
而是 拍
而是 眼
而是 人
而是 浮
而委 屈
而现 在
而有 默
而有 挂
而又 扯
儿吹 远
儿也 不
尔一 笑
发生 ，
发现 每
发自 内
反应 。
反应 越
芳容 ，
芳香 一
芳溢 满
方的 无
方已 融
妨碍 彼
放的 风
放进 彼
放弃 。
放手 的
放下 一
放逐 天
非常 脆
非就 是
芬芳 溢
分解 、
分开 也
分手 ，
分手 。
份包 容
份不 急
份美 丽
份潜 移
份情 感
份首 先
份笃 定
丰富 了
丰富 了
丰厚 赠
丰盈 沉
风儿 吹
风花 雪
风华 ，
风景 ；
风来 的
风雨 的
风雨 同
风雨 却
风雨 。
风雨 与
风中 的
疯狂 爱
疯狂 ，
否被 爱
服了 ，
浮躁 和
福在 于
福在 于
抚慰 平
釜沉 舟
覆水 难
付出 毕
付诸 在
负累 。
富了 人
富了 心
富有 ，
缚束 对
该有 韧
改变 对
甘共 苦
甘情 愿
感的 东
感动 和
感动 到
感恩 ，
感觉 ，
感觉 。
感觉 。
感觉 。
感情 ，
感情 。
感受 到
感天 动
感应 。
敢将 其
高傲 地
个爱 情
个背 影
个不 懂
个道 理
个懂 你
个感 天
个固 执
个花 开
个家 的
个能 让
个人 ，
个人 并
个人 。
个人 相
个人 ，
个人 ，
个人 之
个人 却
个人 却
个人 就
个人 可
个时 代
个喜 欢
个限 度
个真 正
个转 身
个最 短
各种 理
给你 带
给你 开
给人 的
给他 ，
给他 ，
更不 会
更多 的
更加 坚
更加 紧
更没 有
更让 人
更新 。
更重 要
功看 作
巩固 。
共担 风
共苦 ？
共鸣 ，
共鸣 。
够爱 你
够爱 你
够包 容
够彼 此
够彼 此
够借 一
够了 。
孤单 。
古今 中
古往 今
古以 来
骨铭 心
故事 都
故事 ，
顾风 雨
顾疯 狂
顾享 受
顾自 己
固执 地
瓜不 会
挂念 ，
关心 去
关心 ，
观望 ，
管对 方
惯的 时
光开 放
光去 看
轨道 上
贵财 富
滚烫 的
果连 一
果连 一
果实 ，
果输 了
果说 “
果赢 了
过程 。
过程 是
过你 ，
过日 子
过是 感
过我 ，
过一 具
过用 一
害怕 ，
捍卫 爱
豪赌 。
好的 时
好的 爱
好的 结
好的 证
好的 ；
好的 ，
和爱 情
和将 就
和冷 漠
和力 ，
和力 越
和人 生
和挑 剔
和谐 。
和一 份
和易 变
和忧 伤
和责 任
何尝 不
何尝 不
何人 能
何也 不
何只 顾
合的 那
合间 ，
合脚 ；
合了 家
合适 的
合适 的
痕迹 ，
很多 的
很多 人
很多 时
很简 单
很静 ，
很轻 ，
很舒 服
很远 ，
厚实 而
厚赠 礼
候挡 也
候很 简
候留 也
后暗 暗
后的 人
后能 令
后属 于
忽然 被
互不 缚
互成 长
互信 赖
花开 的
花开 花
花开 ，
花开 花
花来 的
花落 的
花前 月
花谢 。
花雪 月
华贵 ，
华洗 尽
化的 修
化合 、
化学 反
话题 ，
欢不 是
欢的 人
欢的 ，
欢离 合
欢你 的
还爱 着
还会 依
还没 有
还是 爱
还是 同
还要 赌
还要 开
还有 义
换来 的
灰尘 ，
回报 ，
毁灭 。
会把 婚
会伴 随
会放 下
会给 你
会获 得
会美 丽
会让 你
会使 坚
会使 忠
会温 暖
会依 然
会拥 有
会用 理
会有 好
会有 甜
会在 灵
会珍 惜
会正 确
会逐 渐
婚姻 。
婚姻 的
魂的 质
魂的 化
魂里 永
魂深 处
魂最 深
活感 觉
活和 爱
活还 是
活中 的
获得 终
获感 情
或长 或
或短 ，
或是 只
或者 ，
基础 之
激烈 持
激情 到
集的 经
急不 燥
即便 是
己的 脚
己感 受
己有 否
季节 ，
季节 般
寂寞 ，
计较 ，
记得 ，
记着 ，
既疯 狂
既然 选
既热 烈
佳句 ，
家的 操
家说 ，
家说 ，
家庭 才
加坚 强
加紧 密
假如 没
架所 以
嫁给 他
嫁给 他
坚定 的
坚强 的
坚强 ，
间不 断
间的 一
间的 考
间的 温
间或 长
间有 一
间越 久
兼程 ，
肩而 去
简单 ，
简单 ，
简单 的
见倾 心
见一 个
渐离 你
建立 在
将会 获
将就 。
将那 份
将其 开
浆般 的
交集 的
骄傲 。
脚远 比
叫爱 人
叫人 充
节般 历
节里 展
结合 ，
结局 。
结局 的
结局 所
解包 容
解的 ，
界那 么
借一 次
今来 有
今中 外
紧密 。
锦素 流
进彼 此
进开 水
进了 彼
进你 生
尽沧 桑
尽头 。
尽最 大
惊扰 彼
精彩 的
精力 。
精神 领
经不 起
经不 起
经不 起
经得 起
经得 起
经得 起
经得 起
经很 远
经刻 进
经历 。
经历 丰
经年 之
经青 春
静的 ，
静静 聆
静聆 听
敬如 宾
久的 跋
久的 爱
久生 情
就不 会
就没 有
就是 不
就是 一
就是 真
就是 那
就是 那
就是 恋
就是 失
就是 爱
就是 这
就是 最
就是 你
就是 为
就是 为
就是 默
就是 悄
就是 让
就算 爱
就算 过
就像 这
就像 青
就像 没
就像 为
就像 人
就要 尽
就已 经
就已 足
就越 热
局的 ，
局所 以
聚缘 散
具简 单
具有 一
距离 ，
句“ 我
剧更 让
剧总 是
眷恋 的
觉得 漫
觉得 遥
决绝 。
决于 相
绝对 的
绝对 的
开初 的
开出 花
开的 声
开放 的
开花 落
开花 谢
开你 的
开你 ，
开启 ，
开始 的
开始 就
开始 的
开谁 。
开水 ，
开心 ，
开也 不
看到 的
看对 方
看起 来
看日 月
看重 的
看作 是
考验 。
考验 ？
颗心 ，
颗心 去
颗心 ，
可高 傲
可及 。
可能 就
可能 了
可能 会
可以 阻
可以 让
可以 让
可以 填
可以 是
可以 有
可以 是
可以 是
可以 这
可以 重
可只 贪
渴望 ，
刻骨 铭
刻骨 ，
刻进 了
刻刻 念
刻念 ，
刻起 ，
苦的 体
苦恼 和
快的 ，
快乐 ，
狂爱 人
拉得 开
来的 神
来的 时
来的 卑
来的 ，
来都 是
来都 是
来了 ，
来谁 也
来说 ，
来他 的
来一 点
来一 生
来有 多
来之 不
赖彼 此
蓝色 的
拦不 住
拦都 拦
浪漫 到
浪漫 ，
浪漫 到
劳之 中
老的 ，
乐此 不
乐家 说
冷漠 。
离不 弃
离不 开
离合 间
离开 你
离开 你
离了 爱
离你 远
离伤 心
理和 挑
理解 包
理解 ，
理解 的
理性 的
理由 。
理由 ，
理由 就
里的 一
里的 一
里的 陌
里还 爱
里永 驻
里展 现
丽的 故
丽而 伤
丽放 逐
历丰 富
历尽 沧
立在 平
力量 。
力去 捍
力所 在
力越 大
连一 丁
连一 丁
